,GPST,dec_sec,satId,psr_1,phs_1,dop_1,snr_1
0,2020-02-11 10:50:14,784740686,G13,63500474788776.03,-487.8063073530423,201.46698129826953,28.60870361328125
1,2020-02-11 10:50:14,784740686,G15,63500474882190.766,-4565.866672653227,1876.8023552809018,33.716556549072266
2,2020-02-11 10:50:14,784740686,G28,63500474916807.195,2210.463763696486,-586.3647976544751,36.00804901123047
3,2020-02-11 10:50:14,784740686,G30,63500474947684.32,6411.935483992456,-2648.7609532815086,38.10066223144531
7,2020-02-11 10:50:15,784740447,G13,63500774581124.18,-687.2334436918686,199.42713633882636,28.25967025756836
8,2020-02-11 10:50:15,784740447,G15,63500774674221.44,-6440.803745572172,1874.9370729189463,33.92367553710937
9,2020-02-11 10:50:15,784740447,G28,63500774709303.14,2798.9833619326805,-588.5195982361944,36.30525588989258
10,2020-02-11 10:50:15,784740447,G30,63500774740575.99,9062.433019240425,-2650.4975352479664,38.58137512207031
14,2020-02-11 10:50:16,784740447,G13,63501069277076.22,-885.2788951868732,198.04545149500447,28.66416358947754
15,2020-02-11 10:50:16,784740447,G15,63501070269230.97,-8314.20521711946,1873.4014715472858,34.04488754272461
16,2020-02-11 10:50:16,784740447,G28,63501070004986.7,3389.1930158840937,-590.2096539514134,36.02499389648437
17,2020-02-11 10:50:16,784740447,G30,63501071235821.805,11714.233967127599,-2651.800947887174,38.37234878540039
21,2020-02-11 10:50:17,784740209,G05,63501371524435.6,17775.58374143263,-3401.86399386449,19.582130432128906
22,2020-02-11 10:50:17,784740209,G13,63501369069424.37,-1082.5557488206446,197.27685363377157,28.89567565917969
23,2020-02-11 10:50:17,784740209,G15,63501370061258.336,-10187.028285922088,1872.8230688026292,34.098403930664055
24,2020-02-11 10:50:17,784740209,G24,63501374307217.72,-15923.84883639025,3032.477038102545,20.850494384765625
25,2020-02-11 10:50:17,784740209,G28,63501369797484.15,3980.157046586422,-590.9640307023279,36.4552001953125
26,2020-02-11 10:50:17,784740209,G30,63501371028712.28,14366.407835135684,-2652.1738680080866,38.51497268676758
27,2020-02-11 10:50:17,784740209,G30,63501371028707.484,236002.30463836048,-1970.739767039311,7.2908363342285165
31,2020-02-11 10:50:18,784740209,G05,63501674015682.87,21195.030158447178,-3409.897548062611,17.59844207763672
32,2020-02-11 10:50:18,784740209,G13,63501668861846.09,-1279.5350531526879,196.97930433204309,29.55335235595703
33,2020-02-11 10:50:18,784740209,G15,63501669853362.58,-12059.966597737219,1872.93831181513,33.35776138305664
34,2020-02-11 10:50:18,784740209,G24,63501674099088.13,-18954.04314546379,3029.0804999607262,18.607954025268555
35,2020-02-11 10:50:18,784740209,G28,63501669590056.06,4571.668056404008,-591.5110098175858,34.63495635986328
36,2020-02-11 10:50:18,784740209,G30,63501670821673.03,17018.210264852074,-2651.8024297163906,38.24195861816406
37,2020-02-11 10:50:18,784740209,G30,63501674119414.055,237972.1459268853,-1980.5678894575124,22.764835357666016
42,2020-02-11 10:50:19,784840822,G05,22625003.500578526,24602.638597016838,-3402.1362327368574,18.35849380493164
43,2020-02-11 10:50:19,784840822,G13,20168604.527364634,-1475.8914795175247,196.3564263648366,29.31801986694336
44,2020-02-11 10:50:19,784840822,G15,21159805.932140715,-13931.938795331522,1871.9721975943037,34.333274841308594
45,2020-02-11 10:50:19,784840822,G24,24206151.195889525,-21975.616724348656,3027.2758428041675,18.303680419921875
46,2020-02-11 10:50:19,784840822,G28,20896968.58871867,5163.974403010305,-592.3063466062974,35.17919540405273
47,2020-02-11 10:50:19,784840822,G30,22128979.490808558,19670.879272060018,-2652.6690072079414,37.64983367919922
48,2020-02-11 10:50:19,784840822,G30,22128982.78889971,239950.39737688296,-1984.0071906289947,27.02029800415039
54,2020-02-11 10:50:20,784840583,G05,22625581.66991779,28002.043415933764,-3401.0408294846234,16.257972717285153
55,2020-02-11 10:50:20,784840583,G13,20168499.773707543,-1671.141580419835,195.25010090231058,30.767566680908203
56,2020-02-11 10:50:20,784840583,G15,21159377.703797385,-15802.869629754325,1870.9308344228023,33.573902130126946
57,2020-02-11 10:50:20,784840583,G24,24205486.429844733,-24995.58731177446,3023.9244390017143,16.682571411132812
58,2020-02-11 10:50:20,784840583,G28,20897008.942347195,5757.429114780036,-593.4547117697307,34.826683044433594
59,2020-02-11 10:50:20,784840583,G30,22129411.366247397,22324.356975480412,-2653.4777034203967,37.42500305175781
60,2020-02-11 10:50:20,784840583,G24,24205470.54142148,-285256.41133407736,30308.801249004413,7.0
61,2020-02-11 10:50:20,784840583,G30,22129415.563024763,241931.81648230896,-1981.4191054259466,29.10049057006836
67,2020-02-11 10:50:21,999840497,G05,22626351.29432098,32129.58075624695,-3398.707813990247,16.481191635131836
68,2020-02-11 10:50:21,999840497,G13,20168430.269490287,-1907.52439708289,194.55375857041543,31.607088088989254
69,2020-02-11 10:50:21,999840497,G15,21158919.068449643,-18075.208973961366,1870.2381433802814,33.139766693115234
70,2020-02-11 10:50:21,999840497,G24,24204775.071718574,-28675.778417767717,3038.211606665336,17.29683494567871
71,2020-02-11 10:50:21,999840497,G28,20897116.016883247,6479.5632735696045,-594.3491018844192,34.59851837158203
72,2020-02-11 10:50:21,999840497,G30,22130002.605799742,25548.83237609315,-2653.8892186113085,37.36356735229492
73,2020-02-11 10:50:21,999840497,G24,24204757.385922894,-287887.7849873688,2257.6289772920404,13.354347229003904
74,2020-02-11 10:50:21,999840497,G30,22130004.69982587,244339.72724759663,-1981.8195599075705,30.229116439819336
80,2020-02-11 10:50:22,999840259,G05,22626889.5899127,35531.930168829334,-3401.563098268716,16.489517211914062
81,2020-02-11 10:50:22,999840259,G13,20168322.22646715,-2101.2081071610746,193.68371007818428,30.722326278686523
82,2020-02-11 10:50:22,999840259,G15,21158486.346675243,-19944.76372922816,1869.5547552667988,34.113338470458984
83,2020-02-11 10:50:22,999840259,G24,24204136.385024194,-31714.748642117025,3038.265696230767,15.276518821716307
84,2020-02-11 10:50:22,999840259,G28,20897160.558564026,7074.819478872927,-595.2562053033208,35.690773010253906
85,2020-02-11 10:50:22,999840259,G30,22130433.27717356,28203.209027695488,-2654.3766516023356,37.9973258972168
86,2020-02-11 10:50:22,999840259,G24,24204098.317374196,-290143.0144699511,2259.509191014331,16.785476684570312
87,2020-02-11 10:50:22,999840259,G30,22130437.482676033,246321.9492756053,-1982.2220280086349,29.27696418762207
93,2020-02-11 10:50:23,999840259,G05,22627561.42329568,38936.862668537724,-3404.1662033812036,17.061637878417972
94,2020-02-11 10:50:23,999840259,G13,20168285.650810767,-2293.9965653075005,192.78845814642656,30.59928703308105
95,2020-02-11 10:50:23,999840259,G15,21158133.189168625,-21813.32276348537,1868.5590342572013,33.462844848632805
96,2020-02-11 10:50:23,999840259,G24,24203561.984931964,-34753.47316451479,3028.3991863617234,16.700191497802734
97,2020-02-11 10:50:23,999840259,G28,20897274.77896424,7671.191389434232,-596.3719105613055,36.0528450012207
98,2020-02-11 10:50:23,999840259,G30,22130939.630141713,30858.326160575372,-2655.1171328798778,38.33636093139648
99,2020-02-11 10:50:23,999840259,G24,24203528.707366735,-292437.9996484191,2260.31568473644,17.442401885986328
100,2020-02-11 10:50:23,999840259,G30,22130944.42895159,248304.66597316612,-1982.7166975608354,29.47416687011719
107,2020-02-11 10:50:24,999840021,G05,22628136.599922597,42344.22337004846,-3407.305547430444,18.834674835205078
108,2020-02-11 10:50:24,999840021,G13,20168178.49774874,-2486.2228261103755,192.22626080287483,30.2021598815918
109,2020-02-11 10:50:24,999840021,G15,21157708.25891645,-23681.392170037707,1868.069406552338,33.599105834960945
110,2020-02-11 10:50:24,999840021,G24,24202906.51112812,-37778.46390928475,3023.5999016091296,14.66103458404541
111,2020-02-11 10:50:24,999840021,G28,20897315.72590017,8268.299772716857,-597.1083832826258,35.63926696777344
112,2020-02-11 10:50:24,999840021,G30,22131371.20892685,33513.76119516286,-2655.435034587491,38.10237884521485
113,2020-02-11 10:50:24,999840021,G24,24202886.7225812,-294699.7580830236,2263.0406437902143,15.33196258544922
114,2020-02-11 10:50:24,999840021,G30,22131377.805109154,250287.61954721287,-1982.9535740467973,29.38833045959473
121,2020-02-11 10:50:25,999840021,G05,22628805.44059323,45756.36390540303,-3407.0247115410552,19.990575790405273
122,2020-02-11 10:50:25,999840021,G13,20168141.625438653,-2677.486466260353,191.26364014997776,29.79245185852051
123,2020-02-11 10:50:25,999840021,G15,21157348.505227525,-25548.629789421557,1867.237619383851,33.232738494873054
124,2020-02-11 10:50:25,999840021,G24,24202327.617604822,-40806.801542527304,3022.0836027318546,16.569707870483402
125,2020-02-11 10:50:25,999840021,G28,20897432.345705323,8866.52758138055,-598.2278086636926,35.238853454589844
126,2020-02-11 10:50:25,999840021,G30,22131879.65592113,36169.92885849803,-2656.167663335169,38.26422119140625
127,2020-02-11 10:50:25,999840021,G24,24202293.73800708,-296959.2653814019,2264.1015240893466,18.97244453430176
128,2020-02-11 10:50:25,999840021,G30,22131882.35197977,252271.06516456004,-1983.4456173471303,29.00477600097656
136,2020-02-11 10:50:26,999839782,G05,22629374.021037847,49168.875756993475,-3408.3049506592643,19.32151985168457
137,2020-02-11 10:50:26,999839782,G13,20168033.2683116,-2867.552153741759,190.065687481405,30.174774169921875
138,2020-02-11 10:50:26,999839782,G15,21156926.576412797,-27414.57689601724,1865.947106595682,32.53752899169922
139,2020-02-11 10:50:26,999839782,G24,24201673.04248719,-43832.12037800581,3022.8236626138414,16.254169464111328
140,2020-02-11 10:50:26,999839782,G28,20897474.793359973,9466.064420492256,-599.5368391117054,34.996849060058594
141,2020-02-11 10:50:26,999839782,G30,22132311.225981157,38826.93010832751,-2657.0012498294873,38.09766006469727
142,2020-02-11 10:50:26,999839782,G24,24201652.65190776,-299218.7224269816,2261.2321183987774,21.23971176147461
143,2020-02-11 10:50:26,999839782,G30,22132316.33016985,254255.27522242087,-1984.2100578608204,28.63215446472168
151,2020-02-11 10:50:27,999839782,G05,22630006.5827058,52577.94206940702,-3405.624114184536,15.664576530456545
152,2020-02-11 10:50:27,999839782,G13,20167998.795406453,-3057.8118350624554,190.25968132069698,31.09224510192871
153,2020-02-11 10:50:27,999839782,G15,21156568.620096304,-29280.81567546335,1866.2387794461051,32.92383575439453
154,2020-02-11 10:50:27,999839782,G24,24201098.64239496,-46863.72359073405,3024.5631257246487,15.905241012573242
155,2020-02-11 10:50:27,999839782,G28,20897586.91100895,10065.56636235945,-599.5019418671945,35.558006286621094
156,2020-02-11 10:50:27,999839782,G30,22132815.781576883,41483.55025106979,-2656.620142742271,37.830482482910156
157,2020-02-11 10:50:27,999839782,G24,24201075.852410592,-301478.9480331259,2259.9072217468347,22.516788482666016
158,2020-02-11 10:50:27,999839782,G30,22132822.9797917,256239.03935266295,-1983.7641302420736,28.393556594848636
166,2020-02-11 10:50:28,999839544,G05,22630594.053011116,55984.18688298193,-3406.869248816572,16.973529815673828
167,2020-02-11 10:50:28,999839544,G13,20167890.1416257,-3249.2371618684547,191.42532680599908,31.557228088378906
168,2020-02-11 10:50:28,999839544,G15,21156146.691281576,-31148.331500764263,1867.5158253009186,31.931926727294922
169,2020-02-11 10:50:28,999839544,G24,24200455.46226951,-49892.87384266592,3027.880141459014,15.769107818603516
170,2020-02-11 10:50:28,999839544,G28,20897629.960696116,10664.031227788535,-598.4648654290864,35.45466613769531
171,2020-02-11 10:50:28,999839544,G30,22133250.658453174,44138.75736556475,-2655.2071144949637,37.771644592285156
172,2020-02-11 10:50:28,999839544,G24,24200431.47694523,-303740.2202715065,2261.5704980201594,22.25839614868164
173,2020-02-11 10:50:28,999839544,G30,22133255.753916755,258221.81557627238,-1982.776223609446,28.401521682739254
182,2020-02-11 10:50:29,999839544,G05,22631248.793905817,59390.11724971741,-3411.4532499345705,17.31839942932129
183,2020-02-11 10:50:29,999839544,G13,20167852.972661912,-3441.0485926280335,191.81143075957917,30.4335880279541
184,2020-02-11 10:50:29,999839544,G15,21155788.14165768,-33016.35786805894,1868.0263672946783,33.305713653564446
185,2020-02-11 10:50:29,999839544,G24,24199900.23996658,-52923.76239645767,3029.0267686043376,15.018338203430176
186,2020-02-11 10:50:29,999839544,G28,20897744.18109633,11262.22118591133,-598.1899581227932,35.32037353515625
187,2020-02-11 10:50:29,999839544,G30,22133754.90867009,46793.24794397234,-2654.490578407589,38.18061828613281
188,2020-02-11 10:50:29,999839544,G24,24199854.37206925,-306002.1217849036,2262.033529739221,21.15044403076172
189,2020-02-11 10:50:29,999839544,G30,22133762.098159797,260204.08029204627,-1982.2647157738934,28.927959442138672
199,2020-02-11 10:50:30,999839305,G05,22631814.381638087,62803.87554358564,-3406.0521739904284,15.951523780822756
200,2020-02-11 10:50:30,999839305,G13,20167745.522946183,-3631.6106813099636,190.56208868192945,30.919925689697266
201,2020-02-11 10:50:30,999839305,G15,21155362.60937299,-34883.05581311369,1866.6979450547478,32.78973388671875
202,2020-02-11 10:50:30,999839305,G24,24199242.672136605,-55950.24547820512,3027.2350069733125,15.729537010192873
203,2020-02-11 10:50:30,999839305,G28,20897786.32337217,11861.84696529222,-599.6257793808903,34.656383514404304
204,2020-02-11 10:50:30,999839305,G30,22134190.08220008,49448.75297186675,-2655.5050278943986,38.9342155456543
205,2020-02-11 10:50:30,999839305,G24,24199206.393133923,-308263.2088582462,2261.0870733425936,20.70719146728516
206,2020-02-11 10:50:30,999839305,G30,22134195.17766366,262187.0730707686,-1982.9927787223128,29.159343719482425
